time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,epoch,step,time_forward
2.4396419525146484,13.131576538085938,-13.131576538085938,2.4821689128875732,13.131574630737305,-13.131574630737305,0.051123324781656265,0,39,
,14.125914573669434,-14.125914573669434,,,,,1,49,1.918291687965393
5.358911037445068,12.897344589233398,-12.897344589233398,5.381791114807129,12.897343635559082,-12.897343635559082,,1,79,
,13.850987434387207,-13.850987434387207,,,,,2,99,2.245884418487549
3.767251491546631,12.650012969970703,-12.650012969970703,3.7339377403259277,12.650012016296387,-12.650012016296387,,2,119,
,13.658899307250977,-13.658899307250977,,,,,3,149,1.7646234035491943
4.12170934677124,12.559317588806152,-12.559317588806152,4.089617729187012,12.559316635131836,-12.559316635131836,,3,159,
,14.237128257751465,-14.237128257751465,,,,,4,199,33.415855407714844
4.816102504730225,12.458455085754395,-12.458455085754395,4.756539344787598,12.458455085754395,-12.458455085754395,,4,199,
4.7281975746154785,12.35761547088623,-12.35761547088623,4.677778720855713,12.35761547088623,-12.35761547088623,0.08651341497898102,5,239,
,13.36913776397705,-13.36913776397705,,,,,6,249,2.3602042198181152
4.186224937438965,12.248019218444824,-12.248019218444824,4.138629913330078,12.248018264770508,-12.248018264770508,,6,279,
,13.253188133239746,-13.253188133239746,,,,,7,299,1.8870923519134521
3.5713672637939453,12.1003999710083,-12.1003999710083,3.5468926429748535,12.1003999710083,-12.1003999710083,,7,319,
,13.122323989868164,-13.122323989868164,,,,,8,349,1.665670394897461
5.672144889831543,11.934967994689941,-11.934967994689941,5.612667083740234,11.934967994689941,-11.934967994689941,,8,359,
,12.761283874511719,-12.761283874511719,,,,,9,399,37.5993537902832
4.13362979888916,11.792970657348633,-11.792970657348633,4.275218486785889,11.792969703674316,-11.792969703674316,,9,399,
2.767038106918335,11.745555877685547,-11.745555877685547,2.775491952896118,11.745555877685547,-11.745555877685547,0.05332066863775253,10,439,
,12.72347640991211,-12.72347640991211,,,,,11,449,1.925742268562317
5.860758304595947,11.767582893371582,-11.767582893371582,6.26222562789917,11.767582893371582,-11.767582893371582,,11,479,
,12.667917251586914,-12.667917251586914,,,,,12,499,2.477783679962158
2.197432518005371,11.76994800567627,-11.76994800567627,2.2060647010803223,11.769947052001953,-11.769947052001953,,12,519,
,12.685943603515625,-12.685943603515625,,,,,13,549,4.590488910675049
4.1671037673950195,11.472787857055664,-11.472787857055664,4.2968034744262695,11.472787857055664,-11.472787857055664,,13,559,
,12.625370025634766,-12.625370025634766,,,,,14,599,230.60292053222656
2.1040914058685303,11.461246490478516,-11.461246490478516,2.1291234493255615,11.461246490478516,-11.461246490478516,,14,599,
2.2080421447753906,11.306151390075684,-11.306151390075684,2.228435516357422,11.306151390075684,-11.306151390075684,0.07641169428825378,15,639,
,12.19083023071289,-12.19083023071289,,,,,16,649,1.7215497493743896
9.865737915039062,11.197694778442383,-11.197694778442383,9.693267822265625,11.197693824768066,-11.197693824768066,,16,679,
,12.11141586303711,-12.11141586303711,,,,,17,699,1.7406418323516846
2.941751480102539,11.159329414367676,-11.159329414367676,2.9311211109161377,11.159329414367676,-11.159329414367676,,17,719,
,12.29142951965332,-12.29142951965332,,,,,18,749,1.8829014301300049
3.3035991191864014,11.131112098693848,-11.131112098693848,3.2973320484161377,11.131112098693848,-11.131112098693848,,18,759,
,11.986820220947266,-11.986820220947266,,,,,19,799,106.93818664550781
4.451465606689453,11.054940223693848,-11.054940223693848,4.4057722091674805,11.054940223693848,-11.054940223693848,,19,799,
4.500913143157959,11.155532836914062,-11.155532836914062,4.464866638183594,11.155532836914062,-11.155532836914062,0.03427259624004364,20,839,
,12.006996154785156,-12.006996154785156,,,,,21,849,1.9511208534240723
2.290678024291992,11.052329063415527,-11.052329063415527,2.3190417289733887,11.052329063415527,-11.052329063415527,,21,879,
,12.025373458862305,-12.025373458862305,,,,,22,899,3.8156285285949707
2.2875070571899414,10.974504470825195,-10.974504470825195,2.298518419265747,10.974504470825195,-10.974504470825195,,22,919,
,12.027862548828125,-12.027862548828125,,,,,23,949,2.37394118309021
5.062722682952881,11.207348823547363,-11.207348823547363,5.008312702178955,11.20734691619873,-11.20734691619873,,23,959,
,12.067534446716309,-12.067534446716309,,,,,24,999,35.6063232421875
2.1445274353027344,11.015423774719238,-11.015423774719238,2.154406785964966,11.015422821044922,-11.015422821044922,,24,999,
5.154967784881592,10.999005317687988,-10.999005317687988,5.244557857513428,10.999006271362305,-10.999006271362305,0.03528709337115288,25,1039,
,12.110917091369629,-12.110917091369629,,,,,26,1049,2.4216716289520264
3.3359527587890625,10.898630142211914,-10.898630142211914,3.3109443187713623,10.898629188537598,-10.898629188537598,,26,1079,
,12.045011520385742,-12.045011520385742,,,,,27,1099,2.101529359817505
3.6975622177124023,10.863494873046875,-10.863494873046875,3.678483486175537,10.863494873046875,-10.863494873046875,,27,1119,
,11.913379669189453,-11.913379669189453,,,,,28,1149,2.324348211288452
5.383205413818359,10.925420761108398,-10.925420761108398,5.32293701171875,10.925421714782715,-10.925421714782715,,28,1159,
,11.811864852905273,-11.811864852905273,,,,,29,1199,32.68197250366211
3.830742597579956,10.816070556640625,-10.816070556640625,3.800402879714966,10.816070556640625,-10.816070556640625,,29,1199,
3.2831430435180664,10.925007820129395,-10.925007820129395,3.269699811935425,10.925007820129395,-10.925007820129395,0.04785040393471718,30,1239,
,12.025185585021973,-12.025185585021973,,,,,31,1249,2.3413448333740234
1.9617797136306763,10.990958213806152,-10.990958213806152,1.9739391803741455,10.990958213806152,-10.990958213806152,,31,1279,
,11.920101165771484,-11.920101165771484,,,,,32,1299,1.7962883710861206
3.7939789295196533,10.746050834655762,-10.746050834655762,3.7810006141662598,10.746049880981445,-10.746049880981445,,32,1319,
,11.982812881469727,-11.982812881469727,,,,,33,1349,6.895279407501221
2.054929733276367,10.942184448242188,-10.942184448242188,2.0852761268615723,10.942184448242188,-10.942184448242188,,33,1359,
,12.302526473999023,-12.302526473999023,,,,,34,1399,35.58024597167969
2.610182523727417,10.84604263305664,-10.84604263305664,2.606874465942383,10.846043586730957,-10.846043586730957,,34,1399,
4.369997501373291,10.801545143127441,-10.801545143127441,4.414637565612793,10.801545143127441,-10.801545143127441,0.0386529304087162,35,1439,
,11.831277847290039,-11.831277847290039,,,,,36,1449,6.085028648376465
2.2402045726776123,10.887335777282715,-10.887335777282715,2.2391390800476074,10.887335777282715,-10.887335777282715,,36,1479,
,11.801362991333008,-11.801362991333008,,,,,37,1499,1.8989667892456055
2.716231346130371,10.773669242858887,-10.773669242858887,2.7331955432891846,10.773669242858887,-10.773669242858887,,37,1519,
,11.70242691040039,-11.70242691040039,,,,,38,1549,7.112044811248779
