time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,epoch,step,time_forward
3.191256523132324,11.411356925964355,-11.411356925964355,3.192953586578369,11.411357879638672,-11.411357879638672,0.08893751353025436,0,39,
,13.788926124572754,-13.788926124572754,,,,,1,49,15.750760078430176
2.481198310852051,11.145780563354492,-11.145780563354492,2.4823458194732666,11.145780563354492,-11.145780563354492,,1,79,
,13.4293212890625,-13.4293212890625,,,,,2,99,1.9255094528198242
3.2689571380615234,10.79524040222168,-10.79524040222168,3.2601230144500732,10.795241355895996,-10.795241355895996,,2,119,
,13.241191864013672,-13.241191864013672,,,,,3,149,7.091555595397949
3.5534379482269287,10.68554973602295,-10.68554973602295,3.530987501144409,10.68554973602295,-10.68554973602295,,3,159,
,13.216194152832031,-13.216194152832031,,,,,4,199,49.840660095214844
3.87723445892334,10.530900001525879,-10.530900001525879,3.8599884510040283,10.530900001525879,-10.530900001525879,,4,199,
2.4144411087036133,10.585397720336914,-10.585397720336914,2.4365041255950928,10.585397720336914,-10.585397720336914,0.09618042409420013,5,239,
,12.911972045898438,-12.911972045898438,,,,,6,249,2.2214372158050537
3.277874231338501,10.263684272766113,-10.263684272766113,3.267747402191162,10.263684272766113,-10.263684272766113,,6,279,
,12.871291160583496,-12.871291160583496,,,,,7,299,2.089887857437134
5.656314373016357,10.157007217407227,-10.157007217407227,5.615724086761475,10.157007217407227,-10.157007217407227,,7,319,
,12.69569206237793,-12.69569206237793,,,,,8,349,1.746229887008667
3.084421396255493,10.131062507629395,-10.131062507629395,3.0747807025909424,10.131063461303711,-10.131063461303711,,8,359,
,12.365808486938477,-12.365808486938477,,,,,9,399,44.74446105957031
4.899621486663818,10.048288345336914,-10.048288345336914,4.84982442855835,10.048287391662598,-10.048287391662598,,9,399,
3.9205551147460938,9.952583312988281,-9.952583312988281,3.9037978649139404,9.952582359313965,-9.952582359313965,0.08007171005010605,10,439,
,12.385991096496582,-12.385991096496582,,,,,11,449,9.940704345703125
3.2407045364379883,9.995342254638672,-9.995342254638672,3.2249274253845215,9.995342254638672,-9.995342254638672,,11,479,
,12.331235885620117,-12.331235885620117,,,,,12,499,2.2146849632263184
6.517696380615234,9.817646980285645,-9.817646980285645,6.76270055770874,9.817646980285645,-9.817646980285645,,12,519,
,12.199370384216309,-12.199370384216309,,,,,13,549,2.084765672683716
2.679777145385742,9.663969993591309,-9.663969993591309,2.677560329437256,9.663969993591309,-9.663969993591309,,13,559,
,13.012941360473633,-13.012941360473633,,,,,14,599,96.000732421875
2.4108171463012695,9.625520706176758,-9.625520706176758,2.4192233085632324,9.625521659851074,-9.625521659851074,,14,599,
3.392910957336426,9.683658599853516,-9.683658599853516,3.377614974975586,9.683659553527832,-9.683659553527832,0.03681682422757149,15,639,
,12.25619125366211,-12.25619125366211,,,,,16,649,5.687819957733154
2.2498371601104736,9.622785568237305,-9.622785568237305,2.2614176273345947,9.622784614562988,-9.622784614562988,,16,679,
,12.175396919250488,-12.175396919250488,,,,,17,699,1.9825528860092163
7.8081841468811035,9.439332962036133,-9.439332962036133,7.859210968017578,9.4393310546875,-9.4393310546875,,17,719,
,12.096829414367676,-12.096829414367676,,,,,18,749,2.5008339881896973
3.13885235786438,9.587902069091797,-9.587902069091797,3.1385488510131836,9.587902069091797,-9.587902069091797,,18,759,
,11.682306289672852,-11.682306289672852,,,,,19,799,28.230249404907227
2.301788568496704,9.39718246459961,-9.39718246459961,2.3064849376678467,9.39718246459961,-9.39718246459961,,19,799,
2.064371109008789,9.401228904724121,-9.401228904724121,2.0736985206604004,9.401228904724121,-9.401228904724121,0.027000417932868004,20,839,
,12.021846771240234,-12.021846771240234,,,,,21,849,2.16066837310791
2.1042587757110596,9.784382820129395,-9.784382820129395,2.1171698570251465,9.784382820129395,-9.784382820129395,,21,879,
,11.950113296508789,-11.950113296508789,,,,,22,899,6.457557678222656
3.840017080307007,9.419853210449219,-9.419853210449219,3.822631359100342,9.419853210449219,-9.419853210449219,,22,919,
,11.877470016479492,-11.877470016479492,,,,,23,949,1.8207356929779053
6.942081451416016,9.316083908081055,-9.316083908081055,7.139584541320801,9.316083908081055,-9.316083908081055,,23,959,
,11.401389122009277,-11.401389122009277,,,,,24,999,108.54378509521484
4.284238815307617,9.351798057556152,-9.351798057556152,4.243034839630127,9.351797103881836,-9.351797103881836,,24,999,
5.28264045715332,9.541155815124512,-9.541155815124512,5.228713035583496,9.541155815124512,-9.541155815124512,0.029190799221396446,25,1039,
,11.92104721069336,-11.92104721069336,,,,,26,1049,2.923654317855835
2.4337055683135986,9.332967758178711,-9.332967758178711,2.4432716369628906,9.332968711853027,-9.332968711853027,,26,1079,
,11.827258110046387,-11.827258110046387,,,,,27,1099,1.9576400518417358
7.937073230743408,9.411661148071289,-9.411661148071289,7.8094940185546875,9.411661148071289,-9.411661148071289,,27,1119,
,11.776864051818848,-11.776864051818848,,,,,28,1149,2.1727755069732666
3.0328991413116455,9.288670539855957,-9.288670539855957,3.0395545959472656,9.288670539855957,-9.288670539855957,,28,1159,
,11.569151878356934,-11.569151878356934,,,,,29,1199,46.22712707519531
3.2767536640167236,9.289032936096191,-9.289032936096191,3.285184860229492,9.289031982421875,-9.289031982421875,,29,1199,
4.707074165344238,9.292401313781738,-9.292401313781738,4.672809600830078,9.292401313781738,-9.292401313781738,0.026745036244392395,30,1239,
,11.885125160217285,-11.885125160217285,,,,,31,1249,2.253567695617676
