time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,epoch,step,time_forward
1.984715461730957,12.724196434020996,-12.724196434020996,2.051710605621338,12.724198341369629,-12.724198341369629,0.08454949408769608,0,39,
,14.055866241455078,-14.055866241455078,,,,,1,49,1.7995480298995972
2.0964860916137695,12.4580078125,-12.4580078125,2.1088669300079346,12.4580078125,-12.4580078125,,1,79,
,13.693825721740723,-13.693825721740723,,,,,2,99,1.9154976606369019
4.401326656341553,12.17774486541748,-12.17774486541748,4.378432273864746,12.177745819091797,-12.177745819091797,,2,119,
,13.42674446105957,-13.42674446105957,,,,,3,149,2.4689362049102783
3.497051954269409,12.028874397277832,-12.028874397277832,3.471703052520752,12.028874397277832,-12.028874397277832,,3,159,
,13.279668807983398,-13.279668807983398,,,,,4,199,31.147151947021484
3.149247169494629,11.908823013305664,-11.908823013305664,3.131779432296753,11.908822059631348,-11.908822059631348,,4,199,
3.591298818588257,11.748663902282715,-11.748663902282715,3.5635132789611816,11.748663902282715,-11.748663902282715,0.05914602428674698,5,239,
,12.917192459106445,-12.917192459106445,,,,,6,249,1.908512830734253
5.366706848144531,11.626527786254883,-11.626527786254883,5.305420875549316,11.626526832580566,-11.626526832580566,,6,279,
,12.884244918823242,-12.884244918823242,,,,,7,299,2.2337772846221924
2.072453260421753,11.493663787841797,-11.493663787841797,2.135795831680298,11.493663787841797,-11.493663787841797,,7,319,
,12.86516284942627,-12.86516284942627,,,,,8,349,1.6898847818374634
2.67498517036438,11.40867805480957,-11.40867805480957,2.6829090118408203,11.40867805480957,-11.40867805480957,,8,359,
,12.517895698547363,-12.517895698547363,,,,,9,399,144.05325317382812
2.9352188110351562,11.386162757873535,-11.386162757873535,2.9845123291015625,11.386161804199219,-11.386161804199219,,9,399,
3.534125804901123,11.453670501708984,-11.453670501708984,3.513624668121338,11.453669548034668,-11.453669548034668,0.05679157003760338,10,439,
,12.60004997253418,-12.60004997253418,,,,,11,449,2.318993091583252
3.489398717880249,11.190704345703125,-11.190704345703125,3.738501787185669,11.190702438354492,-11.190702438354492,,11,479,
,12.534294128417969,-12.534294128417969,,,,,12,499,1.684995412826538
3.5516738891601562,11.162981033325195,-11.162981033325195,3.527418613433838,11.162981033325195,-11.162981033325195,,12,519,
,12.371284484863281,-12.371284484863281,,,,,13,549,1.7848796844482422
4.229545593261719,11.05247974395752,-11.05247974395752,4.448022842407227,11.05247974395752,-11.05247974395752,,13,559,
,12.352514266967773,-12.352514266967773,,,,,14,599,31.758100509643555
3.26385498046875,11.202229499816895,-11.202229499816895,3.241734027862549,11.202229499816895,-11.202229499816895,,14,599,
2.00347900390625,11.012895584106445,-11.012895584106445,2.005887508392334,11.012894630432129,-11.012894630432129,0.06448622047901154,15,639,
,12.245628356933594,-12.245628356933594,,,,,16,649,1.7867423295974731
3.959775447845459,11.106019020080566,-11.106019020080566,3.930138349533081,11.10601806640625,-11.10601806640625,,16,679,
,12.216453552246094,-12.216453552246094,,,,,17,699,2.7851202487945557
2.458786964416504,11.016325950622559,-11.016325950622559,2.4517569541931152,11.016324996948242,-11.016324996948242,,17,719,
,12.105705261230469,-12.105705261230469,,,,,18,749,2.1099112033843994
2.427363395690918,11.01474380493164,-11.01474380493164,2.42814040184021,11.014742851257324,-11.014742851257324,,18,759,
,12.312300682067871,-12.312300682067871,,,,,19,799,27.682632446289062
2.7607202529907227,10.935224533081055,-10.935224533081055,2.770312547683716,10.935223579406738,-10.935223579406738,,19,799,
2.0121572017669678,10.929624557495117,-10.929624557495117,2.0233001708984375,10.9296236038208,-10.9296236038208,0.05008717253804207,20,839,
,11.95479679107666,-11.95479679107666,,,,,21,849,6.744871139526367
2.7776477336883545,10.874789237976074,-10.874789237976074,2.7702579498291016,10.874789237976074,-10.874789237976074,,21,879,
,12.066808700561523,-12.066808700561523,,,,,22,899,4.554865837097168
2.6153564453125,10.792834281921387,-10.792834281921387,2.611328125,10.792835235595703,-10.792835235595703,,22,919,
,12.107601165771484,-12.107601165771484,,,,,23,949,1.5771948099136353
3.7234785556793213,10.739043235778809,-10.739043235778809,3.692124128341675,10.739042282104492,-10.739042282104492,,23,959,
,11.58610725402832,-11.58610725402832,,,,,24,999,27.436763763427734
2.407240629196167,10.672810554504395,-10.672810554504395,2.4229438304901123,10.672809600830078,-10.672809600830078,,24,999,
2.3164985179901123,10.680508613586426,-10.680508613586426,2.3208436965942383,10.680509567260742,-10.680509567260742,0.03406121954321861,25,1039,
,12.043926239013672,-12.043926239013672,,,,,26,1049,3.748340606689453
3.5607097148895264,10.752520561218262,-10.752520561218262,3.7209229469299316,10.752519607543945,-10.752519607543945,,26,1079,
,12.064947128295898,-12.064947128295898,,,,,27,1099,6.728340148925781
2.174663543701172,10.698609352111816,-10.698609352111816,2.1793317794799805,10.698609352111816,-10.698609352111816,,27,1119,
,11.882844924926758,-11.882844924926758,,,,,28,1149,2.8472859859466553
4.968547821044922,10.648221015930176,-10.648221015930176,4.923593044281006,10.648221969604492,-10.648221969604492,,28,1159,
,11.470322608947754,-11.470322608947754,,,,,29,1199,183.90640258789062
3.8361308574676514,10.640960693359375,-10.640960693359375,3.898756742477417,10.640959739685059,-10.640959739685059,,29,1199,
2.284503221511841,10.68805980682373,-10.68805980682373,2.2907238006591797,10.688058853149414,-10.688058853149414,0.03191231191158295,30,1239,
,11.785860061645508,-11.785860061645508,,,,,31,1249,1.7625279426574707
3.12347412109375,10.684648513793945,-10.684648513793945,3.1084916591644287,10.684647560119629,-10.684647560119629,,31,1279,
