node_count,graph_type,dataset_idx,true_shifted_nodes,true_function_shifts,true_noise_shifts,nodes_with_parents,fans_shifted_nodes,fans_function_shifts,fans_noise_shifts,fans_error,splitkci_shifted_nodes,splitkci_function_shifts,splitkci_noise_shifts,splitkci_error,prediter_shifted_nodes,prediter_function_shifts,prediter_noise_shifts,prediter_error,iscan_shifted_nodes,iscan_function_shifts,iscan_noise_shifts,iscan_error,linearccp_shifted_nodes,linearccp_function_shifts,linearccp_noise_shifts,linearccp_error,gpr_shifted_nodes,gpr_function_shifts,gpr_noise_shifts,gpr_error,fans_f1_shifted,fans_f1_function,fans_f1_noise,fans_f1_macro,gpr_f1_shifted,gpr_f1_function,gpr_f1_noise,gpr_f1_macro,iscan_f1_shifted,iscan_f1_function,iscan_f1_noise,iscan_f1_macro,linearccp_f1_shifted,linearccp_f1_function,linearccp_f1_noise,linearccp_f1_macro,splitkci_f1_shifted,splitkci_f1_function,splitkci_f1_noise,prediter_f1_shifted,prediter_f1_function,prediter_f1_noise
30,ER,22,"[8, 17, 21, 25, 27, 28]","[8, 17, 21, 25, 27, 28]",[],"[8, 15, 16, 17, 19, 20, 21, 23, 25, 26, 27, 28, 29]","[8, 17, 21, 25, 27, 28, 29]","[8, 17, 21, 25, 27, 28]",[],,"[8, 15, 17, 23, 25, 26, 28, 29]",[],[],,"[8, 17, 27, 28]",[],[],,"[8, 16, 17, 19, 21, 23, 25, 26, 28, 29]","[8, 17, 21, 25, 27, 28]",[],,"[8, 15, 17, 19, 21, 23, 25, 26, 27, 28]","[17, 21, 25, 27, 28]",[8],,"[8, 17, 21, 25, 27, 28]","[8, 17, 27, 28]","[21, 25]",,0.923076923076923,1.0,0.0,1.0,1.0,0.8,0.0,0.8,0.625,1.0,0.0,1.0,0.7499999999999999,0.9090909090909091,0.0,0.9090909090909091,0.5714285714285715,,,0.8,,
30,ER,23,"[7, 9, 16, 23, 24, 29]","[7, 9, 16, 23, 24, 29]",[],"[6, 7, 9, 10, 11, 16, 17, 18, 20, 21, 23, 24, 25, 26, 27, 28, 29]","[7, 9, 10, 11, 16, 20, 23, 24, 25, 27, 29]","[7, 9, 16, 23, 24, 29]",[],,"[6, 7, 16, 17, 18, 24, 26]",[],[],,"[7, 9, 23]",[],[],,"[24, 27, 29]","[7, 9, 16, 23, 24, 29]",[],,"[7, 9, 10, 11, 16, 20, 23, 24, 27, 28, 29]","[7, 9, 16, 24, 29]",[23],,"[7, 9, 16, 23, 24, 29]","[7, 9, 16, 23, 24, 29]",[],,0.7058823529411764,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.4444444444444444,1.0,0.0,1.0,0.7058823529411764,0.9090909090909091,0.0,0.9090909090909091,0.4615384615384615,,,0.6666666666666666,,
30,ER,24,"[11, 19, 20, 23, 24, 26]","[11, 19, 20, 23, 24, 26]",[],"[2, 3, 8, 10, 11, 13, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]","[11, 19, 20, 23, 24, 26, 27, 28, 29]","[11, 19, 20, 23, 24, 26]",[],,"[8, 18, 19, 20, 22, 24, 26, 27]",[],[],,"[11, 19, 20, 24, 26]",[],[],,"[10, 18, 19, 22, 23, 24, 25, 26, 28, 29]","[11, 19, 20, 23, 24, 26]",[],,"[11, 19, 20, 23, 24, 26, 27]","[20, 24, 26]","[11, 19, 23]",,"[11, 19, 20, 23, 24, 26]","[11, 19, 20, 23, 26]",[24],,0.8,1.0,0.0,1.0,1.0,0.9090909090909091,0.0,0.9090909090909091,0.5,1.0,0.0,1.0,0.923076923076923,0.6666666666666666,0.0,0.6666666666666666,0.5714285714285715,,,0.9090909090909091,,
30,ER,25,"[8, 12, 18, 22, 26, 28]","[8, 12, 18, 22, 26, 28]",[],"[6, 7, 8, 10, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]","[8, 12, 18, 21, 22, 26, 28]","[8, 12, 18, 22, 26, 28]",[],,"[7, 12, 14, 19, 23, 25]",[],[],,"[12, 18, 28]",[],[],,"[26, 28]","[8, 12, 18, 22, 26, 28]",[],,"[8, 12, 15, 18, 20, 21, 22, 25, 26, 27, 28]","[8, 12, 22, 26, 28]",[18],,"[8, 12, 18, 22, 26, 28]","[12, 22, 26]","[8, 18, 28]",,0.923076923076923,1.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.7058823529411764,0.9090909090909091,0.0,0.9090909090909091,0.16666666666666666,,,0.6666666666666666,,
30,ER,26,"[7, 14, 15, 17, 20, 25]",[],"[7, 14, 15, 17, 20, 25]","[5, 7, 8, 9, 14, 15, 17, 19, 20, 21, 22, 23, 25, 26, 28, 29]","[7, 14, 15, 17, 20, 25]","[7, 14, 15, 17, 20, 25]",[],,"[7, 20, 21, 22, 23, 25, 28, 29]",[],[],,"[7, 15, 17]",[],[],,"[7, 8, 9, 14, 15, 17, 19, 20, 21, 22, 23, 25, 29]","[7, 15, 25]","[14, 17, 20]",,"[7, 14, 15, 17, 19, 20, 21, 22, 25, 26, 29]","[7, 17, 20, 25]","[14, 15]",,"[7, 14, 15, 17, 20, 25]",[],"[7, 14, 15, 17, 20, 25]",,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.631578947368421,0.0,0.6666666666666666,0.6666666666666666,0.7058823529411764,0.0,0.5,0.5,0.42857142857142855,,,0.6666666666666666,,
30,ER,27,"[14, 21, 25, 27, 28, 29]",[],"[14, 21, 25, 27, 28, 29]","[3, 7, 8, 10, 13, 14, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]","[14, 25, 27, 28, 29]","[14, 21, 25, 27, 28, 29]",[],,"[7, 8, 14, 18, 20, 26, 27, 29]",[],[],,"[14, 21, 25, 27, 29]",[],[],,"[8, 13, 14, 19, 20, 21, 25, 27, 28, 29]","[14, 27, 28, 29]","[21, 25]",,"[7, 14, 20, 21, 22, 24, 25, 27, 28, 29]","[27, 28]","[14, 21, 25, 29]",,"[14, 21, 25, 27, 28, 29]",[],"[14, 21, 25, 27, 28, 29]",,0.9090909090909091,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7499999999999999,0.0,0.5,0.5,0.7499999999999999,0.0,0.8,0.8,0.42857142857142855,,,0.9090909090909091,,
30,ER,28,"[12, 16, 19, 23, 28, 29]",[],"[12, 16, 19, 23, 28, 29]","[5, 9, 10, 11, 12, 14, 16, 17, 19, 21, 23, 24, 27, 28, 29]","[12, 16, 19, 23, 24, 28, 29]","[12, 16, 19, 23, 28, 29]",[],,"[9, 11, 12, 19, 21, 23, 27, 28, 29]",[],[],,"[12, 16, 28]",[],[],,"[5, 9, 10, 12, 14, 16, 17, 19, 21, 23, 24, 27, 28, 29]","[12, 16, 19, 23, 28]",[29],,"[12, 14, 16, 19, 21, 23, 24, 28, 29]",[29],"[12, 16, 19, 23, 28]",,"[12, 16, 19, 23, 28, 29]",[],"[12, 16, 19, 23, 28, 29]",,0.923076923076923,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6,0.0,0.2857142857142857,0.2857142857142857,0.8,0.0,0.9090909090909091,0.9090909090909091,0.6666666666666667,,,0.6666666666666666,,
30,ER,29,"[11, 13, 20, 23, 24, 27]",[],"[11, 13, 20, 23, 24, 27]","[9, 11, 13, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[13, 20, 24, 26, 27]","[11, 13, 20, 23, 24, 27]",[],,"[9, 11, 13, 16, 19, 20, 23, 24, 25]",[],[],,"[20, 24, 27]",[],[],,"[11, 13, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28]","[20, 23, 24]","[11, 13, 27]",,"[11, 13, 20, 23, 24, 27]","[11, 20, 27]","[13, 23, 24]",,"[11, 13, 20, 23, 24, 27]",[11],"[13, 20, 23, 24, 27]",,0.7272727272727272,0.0,0.0,0.0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.5263157894736842,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666667,,,0.6666666666666666,,
30,ER,30,"[3, 6, 14, 23, 26, 27]",[],"[3, 6, 14, 23, 26, 27]","[3, 4, 6, 10, 11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 26, 27, 28, 29]","[3, 6, 14, 23, 26, 27, 29]","[3, 6, 14, 23, 26, 27]",[],,"[4, 6, 11, 16, 17, 22, 23, 27, 28, 29]",[],[],,"[3, 6, 14, 27]",[],[],,"[4, 6, 10, 12, 13, 14, 15, 16, 17, 21, 23, 26, 27, 28, 29]","[3, 23, 26, 27]","[6, 14]",,"[3, 4, 6, 10, 14, 15, 16, 17, 23, 26, 27, 29]","[26, 27]","[3, 6, 14, 23]",,"[3, 6, 14, 23, 26, 27]",[3],"[6, 14, 23, 26, 27]",,0.923076923076923,0.0,0.0,0.0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.47619047619047616,0.0,0.5,0.5,0.6666666666666666,0.0,0.8,0.8,0.37499999999999994,,,0.8,,
30,SF,1,"[4, 5, 10, 13, 14, 17]","[5, 13, 14]","[4, 10, 17]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4, 5, 10, 13, 14, 17]","[4, 5, 10, 13, 14, 17]",[],,"[1, 2, 3, 6, 7, 8, 12, 14, 16, 17, 20, 21, 23, 24, 25, 26, 28]",[],[],,"[4, 5, 10, 14, 17]",[],[],,"[1, 4, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]","[4, 5, 13, 14, 17]",[10],,"[1, 4, 5, 8, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 23, 28]","[5, 13, 14, 17]","[4, 10]",,"[4, 5, 10, 13, 14, 17]",[],"[4, 5, 10, 13, 14, 17]",,1.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.3333333333333333,0.28571428571428575,0.7499999999999999,0.5,0.625,0.5454545454545454,0.8571428571428571,0.8,0.8285714285714285,0.1739130434782609,,,0.9090909090909091,,
