Node,Parents,Env2 Independent,χ²(1) Similar,KS p-value,Shift Type
X2,[0],True,False,0.0000,noise_shift_dominant
X4,"[0, 2]",False,False,0.0000,function_and_noise
X6,"[0, 2]",False,False,0.0000,function_and_noise
X8,"[0, 2, 5]",False,False,0.0029,function_and_noise
X9,"[2, 8]",False,True,0.9789,function_only
X10,"[2, 9]",False,False,0.0025,function_and_noise
