Node,Parents,Env2 Independent,χ²(1) Similar,KS p-value,Shift Type
X2,"[0, 1]",False,False,0.0000,function_and_noise
X4,"[0, 1]",False,True,0.2878,function_only
X6,"[0, 1]",False,False,0.0350,function_and_noise
X8,[0],False,False,0.0210,function_and_noise
