method,nodes,graph_type,num_experiments,total_classified,correct_classified,accuracy,f1_function,f1_noise,f1_macro
FANS,10,ER,15,30,21,0.7,0.5111111111111111,0.7333333333333332,0.6222222222222222
FANS_violation_lambda_0.50,10,ER,30,60,29,0.48333333333333334,0.05555555555555555,0.6111111111111112,0.33333333333333337
FANS_violation_lambda_1.00,10,ER,29,58,25,0.43103448275862066,0.09195402298850575,0.528735632183908,0.3103448275862069
GPR,10,ER,15,30,16,0.5333333333333333,0.06666666666666667,0.6888888888888888,0.37777777777777766
