node_count,graph_type,dataset_idx,true_shifted_nodes,true_function_shifts,true_noise_shifts,nodes_with_parents,fans_shifted_nodes,fans_function_shifts,fans_noise_shifts,fans_error,fans_swap_shifted_nodes,fans_swap_function_shifts,fans_swap_noise_shifts,fans_swap_error,fans_5000_shifted_nodes,fans_5000_function_shifts,fans_5000_noise_shifts,fans_5000_error,fans_10000_shifted_nodes,fans_10000_function_shifts,fans_10000_noise_shifts,fans_10000_error,fans_30000_shifted_nodes,fans_30000_function_shifts,fans_30000_noise_shifts,fans_30000_error,fans_100epochs_shifted_nodes,fans_100epochs_function_shifts,fans_100epochs_noise_shifts,fans_100epochs_error,fans_500epochs_shifted_nodes,fans_500epochs_function_shifts,fans_500epochs_noise_shifts,fans_500epochs_error,fans_dim8_shifted_nodes,fans_dim8_function_shifts,fans_dim8_noise_shifts,fans_dim8_error,fans_dim16_shifted_nodes,fans_dim16_function_shifts,fans_dim16_noise_shifts,fans_dim16_error,fans_anm_shifted_nodes,fans_anm_function_shifts,fans_anm_noise_shifts,fans_anm_error,fans_small_shifted_nodes,fans_small_function_shifts,fans_small_noise_shifts,fans_small_error,iscan_shifted_nodes,iscan_function_shifts,iscan_noise_shifts,iscan_error,linearccp_shifted_nodes,linearccp_function_shifts,linearccp_noise_shifts,linearccp_error,splitkci_shifted_nodes,splitkci_function_shifts,splitkci_noise_shifts,splitkci_error,prediter_shifted_nodes,prediter_function_shifts,prediter_noise_shifts,prediter_error,gpr_shifted_nodes,gpr_function_shifts,gpr_noise_shifts,gpr_error,lcit_shifted_nodes,lcit_function_shifts,lcit_noise_shifts,lcit_error,fans_f1_shifted,fans_f1_function,fans_f1_noise,fans_f1_macro,fans_swap_f1_shifted,fans_swap_f1_function,fans_swap_f1_noise,fans_swap_f1_macro,fans_5000_f1_shifted,fans_5000_f1_function,fans_5000_f1_noise,fans_5000_f1_macro,fans_10000_f1_shifted,fans_10000_f1_function,fans_10000_f1_noise,fans_10000_f1_macro,fans_30000_f1_shifted,fans_30000_f1_function,fans_30000_f1_noise,fans_30000_f1_macro,fans_100epochs_f1_shifted,fans_100epochs_f1_function,fans_100epochs_f1_noise,fans_100epochs_f1_macro,fans_500epochs_f1_shifted,fans_500epochs_f1_function,fans_500epochs_f1_noise,fans_500epochs_f1_macro,fans_dim8_f1_shifted,fans_dim8_f1_function,fans_dim8_f1_noise,fans_dim8_f1_macro,fans_dim16_f1_shifted,fans_dim16_f1_function,fans_dim16_f1_noise,fans_dim16_f1_macro,fans_anm_f1_shifted,fans_anm_f1_function,fans_anm_f1_noise,fans_anm_f1_macro,fans_small_f1_shifted,fans_small_f1_function,fans_small_f1_noise,fans_small_f1_macro,gpr_f1_shifted,gpr_f1_function,gpr_f1_noise,gpr_f1_macro,iscan_f1_shifted,iscan_f1_function,iscan_f1_noise,iscan_f1_macro,linearccp_f1_shifted,linearccp_f1_function,linearccp_f1_noise,linearccp_f1_macro,splitkci_f1_shifted,splitkci_f1_function,splitkci_f1_noise,prediter_f1_shifted,prediter_f1_function,prediter_f1_noise,lcit_f1_shifted,lcit_f1_function,lcit_f1_noise
10,ER,1,"[6, 9]",[6],[9],"[5, 6, 7, 8, 9]","[6, 9]",[6],[9],,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_swap/*nodes_10_ER_adj_1/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_5000/*nodes_10_ER_adj_1/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_10000/*nodes_10_ER_adj_1/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_30000/*nodes_10_ER_adj_1/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_100epochs/*nodes_10_ER_adj_1/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_500epochs/*nodes_10_ER_adj_1/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim8/*nodes_10_ER_adj_1/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim16/*nodes_10_ER_adj_1/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_anm/*nodes_10_ER_adj_1/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_small/*nodes_10_ER_adj_1/*/fans_analysis/fans_*.json,"[6, 9]","[6, 9]",[],,[],[],[],File not found,[],[],[],File not found,"[6, 9]",[],[],,[],[],[],File not found,"[5, 6, 7, 8, 9]",[],[],,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.0,0.0,0,,,1.0,,,0.5714285714285715,,
10,ER,2,"[5, 9]",[9],[5],"[2, 4, 5, 6, 7, 9]","[5, 9]",[9],[5],,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_swap/*nodes_10_ER_adj_2/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_5000/*nodes_10_ER_adj_2/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_10000/*nodes_10_ER_adj_2/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_30000/*nodes_10_ER_adj_2/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_100epochs/*nodes_10_ER_adj_2/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_500epochs/*nodes_10_ER_adj_2/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim8/*nodes_10_ER_adj_2/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim16/*nodes_10_ER_adj_2/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_anm/*nodes_10_ER_adj_2/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_small/*nodes_10_ER_adj_2/*/fans_analysis/fans_*.json,"[4, 5]","[5, 9]",[],,[],[],[],File not found,[],[],[],File not found,"[5, 9]",[],[],,[],[],[],File not found,"[2, 4, 7]",[],[],,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.0,0.0,0,,,1.0,,,0.0,,
10,ER,3,"[2, 5]",[2],[5],"[2, 3, 5, 6, 8, 9]","[2, 5]",[2],[5],,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_swap/*nodes_10_ER_adj_3/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_5000/*nodes_10_ER_adj_3/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_10000/*nodes_10_ER_adj_3/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_30000/*nodes_10_ER_adj_3/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_100epochs/*nodes_10_ER_adj_3/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_500epochs/*nodes_10_ER_adj_3/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim8/*nodes_10_ER_adj_3/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim16/*nodes_10_ER_adj_3/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_anm/*nodes_10_ER_adj_3/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_small/*nodes_10_ER_adj_3/*/fans_analysis/fans_*.json,"[2, 5, 6]","[2, 5]",[],,[],[],[],File not found,[],[],[],File not found,"[2, 5]",[],[],,[],[],[],File not found,"[2, 3, 5, 6, 9]",[],[],,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.8,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.0,0.0,0,,,1.0,,,0.5714285714285715,,
10,ER,4,"[5, 6]",[6],[5],"[2, 5, 6, 7, 8, 9]","[5, 6]",[6],[5],,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_swap/*nodes_10_ER_adj_4/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_5000/*nodes_10_ER_adj_4/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_10000/*nodes_10_ER_adj_4/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_30000/*nodes_10_ER_adj_4/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_100epochs/*nodes_10_ER_adj_4/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_500epochs/*nodes_10_ER_adj_4/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim8/*nodes_10_ER_adj_4/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim16/*nodes_10_ER_adj_4/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_anm/*nodes_10_ER_adj_4/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_small/*nodes_10_ER_adj_4/*/fans_analysis/fans_*.json,"[2, 5, 6, 9]",[6],[5],,[],[],[],File not found,[],[],[],File not found,"[5, 6]",[],[],,[],[],[],File not found,"[2, 5, 6, 7, 8, 9]",[],[],,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0,0.0,0.0,0.0,0,,,1.0,,,0.5,,
10,ER,5,"[4, 6]",[6],[4],"[3, 4, 5, 6, 7, 9]","[4, 6]",[6],[4],,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_swap/*nodes_10_ER_adj_5/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_5000/*nodes_10_ER_adj_5/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_10000/*nodes_10_ER_adj_5/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_30000/*nodes_10_ER_adj_5/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_100epochs/*nodes_10_ER_adj_5/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_500epochs/*nodes_10_ER_adj_5/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim8/*nodes_10_ER_adj_5/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim16/*nodes_10_ER_adj_5/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_anm/*nodes_10_ER_adj_5/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_small/*nodes_10_ER_adj_5/*/fans_analysis/fans_*.json,[],[6],[4],,[],[],[],File not found,[],[],[],File not found,"[4, 6]",[],[],,[],[],[],File not found,"[3, 5, 6, 7, 9]",[],[],,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,,,1.0,,,0.28571428571428575,,
10,ER,6,"[4, 5]",[5],[4],"[3, 4, 5, 6, 8, 9]","[4, 5]",[5],[4],,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_swap/*nodes_10_ER_adj_6/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_5000/*nodes_10_ER_adj_6/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_10000/*nodes_10_ER_adj_6/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_30000/*nodes_10_ER_adj_6/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_100epochs/*nodes_10_ER_adj_6/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_500epochs/*nodes_10_ER_adj_6/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim8/*nodes_10_ER_adj_6/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim16/*nodes_10_ER_adj_6/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_anm/*nodes_10_ER_adj_6/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_small/*nodes_10_ER_adj_6/*/fans_analysis/fans_*.json,[8],"[4, 5]",[],,[],[],[],File not found,[],[],[],File not found,"[4, 5]",[],[],,[],[],[],File not found,"[3, 4, 8, 9]",[],[],,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.0,0.0,0,,,1.0,,,0.3333333333333333,,
10,ER,7,"[6, 8]",[6],[8],"[4, 5, 6, 7, 8]","[6, 8]",[6],[8],,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_swap/*nodes_10_ER_adj_7/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_5000/*nodes_10_ER_adj_7/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_10000/*nodes_10_ER_adj_7/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_30000/*nodes_10_ER_adj_7/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_100epochs/*nodes_10_ER_adj_7/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_500epochs/*nodes_10_ER_adj_7/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim8/*nodes_10_ER_adj_7/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim16/*nodes_10_ER_adj_7/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_anm/*nodes_10_ER_adj_7/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_small/*nodes_10_ER_adj_7/*/fans_analysis/fans_*.json,"[5, 7, 8]","[6, 8]",[],,[],[],[],File not found,[],[],[],File not found,"[6, 8]",[],[],,[],[],[],File not found,"[5, 8]",[],[],,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.0,0.0,0,,,1.0,,,0.5,,
10,ER,8,"[7, 8]",[7],[8],"[3, 5, 6, 7, 8, 9]","[7, 8]",[7],[8],,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_swap/*nodes_10_ER_adj_8/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_5000/*nodes_10_ER_adj_8/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_10000/*nodes_10_ER_adj_8/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_30000/*nodes_10_ER_adj_8/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_100epochs/*nodes_10_ER_adj_8/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_500epochs/*nodes_10_ER_adj_8/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim8/*nodes_10_ER_adj_8/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim16/*nodes_10_ER_adj_8/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_anm/*nodes_10_ER_adj_8/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_small/*nodes_10_ER_adj_8/*/fans_analysis/fans_*.json,"[3, 6, 7, 8]","[7, 8]",[],,[],[],[],File not found,[],[],[],File not found,[8],[],[],,[],[],[],File not found,"[3, 6, 7, 9]",[],[],,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.0,0.0,0,,,0.6666666666666666,,,0.3333333333333333,,
10,ER,9,"[5, 8]",[5],[8],"[3, 4, 5, 6, 7, 8, 9]","[5, 8]",[5],[8],,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_swap/*nodes_10_ER_adj_9/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_5000/*nodes_10_ER_adj_9/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_10000/*nodes_10_ER_adj_9/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_30000/*nodes_10_ER_adj_9/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_100epochs/*nodes_10_ER_adj_9/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_500epochs/*nodes_10_ER_adj_9/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim8/*nodes_10_ER_adj_9/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim16/*nodes_10_ER_adj_9/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_anm/*nodes_10_ER_adj_9/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_small/*nodes_10_ER_adj_9/*/fans_analysis/fans_*.json,"[3, 6, 7, 8, 9]","[5, 8]",[],,[],[],[],File not found,[],[],[],File not found,"[5, 8]",[],[],,[],[],[],File not found,"[3, 4, 5, 7]",[],[],,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.28571428571428575,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.0,0.0,0,,,1.0,,,0.3333333333333333,,
10,ER,10,"[5, 7]",[5],[7],"[2, 4, 5, 6, 7, 8, 9]","[5, 7]",[5],[7],,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_swap/*nodes_10_ER_adj_10/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_5000/*nodes_10_ER_adj_10/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_10000/*nodes_10_ER_adj_10/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_30000/*nodes_10_ER_adj_10/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_100epochs/*nodes_10_ER_adj_10/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_500epochs/*nodes_10_ER_adj_10/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim8/*nodes_10_ER_adj_10/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_dim16/*nodes_10_ER_adj_10/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_anm/*nodes_10_ER_adj_10/*/fans_analysis/fans_*.json,[],[],[],File not found with pattern: /data1/statduck/exp1_result_fans_small/*nodes_10_ER_adj_10/*/fans_analysis/fans_*.json,"[4, 7, 9]",[5],[7],,[],[],[],File not found,[],[],[],File not found,"[5, 7]",[],[],,[],[],[],File not found,"[2, 4, 6, 8, 9]",[],[],,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,0,0.0,0.0,0.0,0,,,1.0,,,0.0,,
